text_index,subject,predicate,object
39,Доля семейной ипотеки,сократится,примерно вдвое
39,Реальное изменение,произойдет,в среде застройщиков
39,Она,выделяет,несколько факторов
39,Тем,советует,не откладывать
39,семьям,стоит,под текущие условия
39,Отложить покупку Любимова,рекомендует,"тем, у кого нет права на льготные программы и возможности внести большой взнос"
39,рыночная ипотека,экономически невыгодна,под 18–19%
39,разместить средства на депозитах,целесообразнее разместить,средства на депозитах под 16–18% до 2027–2028 гг.
39,Большая часть этих регионов,демонстрировала,положительную ценовую динамику
39,интересны локации,были,вдоль ВСМ
39,Любимова,выделяет,три конкретных направления
39,Третье,поддерживает,ликвидность жилья
39,Ксения Петрова,отмечает,устойчивую тенденцию: ценовой разрыв между вторичным и первичным рынками
39,Новые дома,строются,"по современным стандартам, с иными инженерными решениями и планировками"
40,В Москве,работают,"десятки комплексов с хаммамом, термальными зонами и авторскими массажными ритуалами"
40,В Москве,работают,"десятки комплексов с хаммамом, термальными зонами и авторскими массажными ритуалами"
40,В Москве,работают,"десятки комплексов с хаммамом, термальными зонами и авторскими массажными ритуалами"
40,хаммам,это,"классическая турецкая баня с мраморными лежаками, влажностью до 100% и пилингом рукавичкой кесе"
40,хаммам,держится,около 45–50 градусов
40,хаммам,подходит,"тем, кто чувствителен к высокой температуре"
40,Термален Сеть Termoland,это доступный по цене формат,термального отдыха в Москве
40,Комплексы,работают,"на Ленинградском шоссе, в Бутове, на Ботанической, во Внукове и других точках"
40,разовый билет,стоит,от 2000 руб.
40,для школьников,стоит,1680 руб.
40,для детей от трех до шести лет,стоит,1250 руб.
40,Формат,подходит,для семейного отдыха
40,из-за отельного расположения уровень сервиса и конфиденциальности,выше,чем в сетевых комплексах
40,Barvikha Hotel Spa,является,единственным в этом списке загородный формат — спа-отель в Барвихе
40,Спа-центр,включает,"хаммам, русскую баню, финскую сауну, паровую комнату, гидромассажные ванны, купели разных температур, два типа оздоровительных душей и салон красоты"
40,Записываться,рекомендуется,заранее
40,что входит,входит,в классический хаммам
40,что учесть,учесть,перед записью
40,"сердечно-сосудистые заболевания, гипертония, ряд кожных состояний и беременность в первом триместре",противопоказаны,процедуре
40,Перед посещением хаммама или паровой бани,проконсультируйтесь,с врачом
40,Подарочные сертификаты,доступны,в практических заведениях
40,Запрет,распространяется,острые инфекции с высокой температурой
40,острые инфекции с высокой температурой,воспалительные заболевания,в стадии обострения
40,гнойничковые и язвенные поражения кожи,являются,важны
40,Если любое из перечисленных состояний актуально для вас,проконсультируйтесь,с лечащим врачом до записи
41,Семейные россияне,считают себя счастливыми,"того, кто не состоит в браке"
41,счастливыми себя назвали 74% состоящих в браке респондентов,назвали,58% холостых и незамужних
41,семейные люди,говорят,о своем благополучии
41,84% состоящих в отношениях россиян,ежедневно проводят время,с партнером
41,71% опрошенных,общается,с детьми каждый день
41,мужчины,называют,партнера вторым по значимости человеком после родителей
42,Средний бюджет лота на вторичном рынке элитной недвижимости Москвы,вырос,на 14% и достиг 291 млн руб.
42,Доля лотов в диапазоне 50–85 млн руб.,сократилась,до 14%
42,Средневзвешенная цена квадратного метра,достигла,"1,743 млн руб."
42,спрос,вырос,на 57%
42,средняя стоимость приобретенного лота,составила,150 млн руб.
42,наибольшее количество сделок,пришлось,на диапазон 50–85 млн руб.
43,Т-Банк,запустил,федеральный проект «Локальный код»
43,В крупнейших городах России,пройдут,"бизнес-фестивали, встречи с представителями малого и среднего бизнеса, а также исследования локальных рынков"
43,В рамках фестиваля,был установлен,арт-объект в виде маяка
43,Дополнительные остановки,запланированы,"в Красноярске, Челябинске, Перми, Уфе и Нижнем Новгороде"
43,пройдут встречи,проходят,предпринимательского сообщества
43,опросы жителей,проведут,аналитики
43,малому бизнесу,требуется,комплексная поддержка
43,малому бизнесу,адаптироваться,"к быстро меняющимся экономическим, технологическим и социальным условиям"
43,проекту,направлен,на обмен опытом между предпринимателями
44,У манула Тимофея из Московского зоопарка,появились,три потенциальные невесты
44,Светлана Акулова,рассказала,журналистам
44,специалисты,проверить,генетику и состояние здоровья самок
44,японский зоопарк Хигасияма,отказался предоставить,самку манула
44,Тимофею,не получилось найти,невест
45,Федеральный национальный совет ОАЭ,одобрил,новый законопроект о защите культурного наследия
45,документ,вводит жесткие санкции,"за умышленное повреждение, кражу или контрабанду древностей и культурных ценностей"
45,Закон,принят,"на все эмираты, включая свободные экономические зоны"
45,"любой, кто случайно обнаружил предметы старины или узнал об их существовании",обязан,"не прикасаться к ним и уведомить Министерство культуры, компетентный орган или полицию в течение 48 часов"
45,сообщение,предусмотрено,вознаграждение
45,"нелегальные раскопки, использование объектов наследия как свалок, подделку артефактов или осквернение культурных ценностей",караются,"до 10 лет тюрьмы и штраф от 300 000 дирхамов ($81 700) до 5 млн дирхамов ($1,361 млн)"
45,за менее тяжкие нарушения,грозит,тюрьмы и штраф
45,суды,могут конфисковать,"предметы наследия, инструменты и оборудование"
45,прокуратура Шарджи,предупредила,жителей ОАЭ
47,Швейцарский Цюрих,возглавил,мировой рейтинг стоимости жизни
47,547 городов мира,вошли,"в исследование, включая более 10 российских"
47,Москва,заняла,"307-е место с индексом 51,7, став самым дорогим российским городом в рейтинге"
47,Среди европейских столиц,стали лидерами,"Лондон, Копенгаген, Амстердам, Осло, Париж, Вена и Прага"
47,Замыкают рейтинг,прежде всего,города Индии
47,Нижний Новгород,стал,самым безопасным российским городом
48,Швейцарский банк Julius Baer,опубликовал,ежегодный рейтинг
48,Сингапур,стал,лидером четвертый год подряд
48,Цюрих и Монако,поднявшееся,с четвертой позиции
48,Дубай,опустился,с седьмого на 14-е место
48,привязка дирхама к ослабевшему доллару,является причиной,не в снижении цен в эмирате
48,ситуация,не изменилась,"для местных жителей, расплачивающихся в дирхамах"
48,360 состоятельных респондентов,провели опрос,что геополитическая неопределенность беспокоит от 82 до 95% участников рынка
48,43% респондентов,сократили,допустимый уровень риска
48,Цюрих,является,самым дорогим для жизни городом мира
